N,sample_index,sample_seed,projection_model,status,is_nontrivial,knot_label,knot_types,determinant,alexander_roots,vassiliev_2,vassiliev_3,gauss_code,simplified_gauss_code,crossing_count,simplified_crossing_count,edge_length_min,edge_length_mean,edge_length_rms,edge_length_max,cycle_distortion,pair_distance_min,pair_distance_mean,pair_distance_rms,pair_distance_std,pair_distance_max,pair_distance_distortion,pair_abs_ratio_min,pair_abs_ratio_mean,pair_abs_ratio_rms,pair_abs_ratio_max,pair_rms_scale_to_simplex,pair_normalized_ratio_min,pair_normalized_ratio_mean,pair_normalized_ratio_max,min_nonadjacent_segment_distance,embedded_numerically,fast_mode_requested,fast_backend_available,messages
6,0,2825669272,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-c,2-c,3-a,4+a,5+c,1+c,6+a,3+a,4-a,5-c,2+c,6-a",----,6,0,0.7573751118369894,1.1840494473092085,1.2036703986842952,1.4053474840195317,1.855550125763845,0.49268338104695075,1.0594918525448958,1.0954451150103321,0.2783469317075094,1.4053474840195317,2.852435332876811,0.3483797597162146,0.7491738735463934,0.7745966692414833,0.993730735873664,1.2909944487358058,0.449756335845547,0.9671793118862945,1.2829008635510475,0.005334355989957286,True,True,true,
6,1,2601697528,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-c,1+c",----,1,0,0.4599934643088419,1.0520105862349685,1.0938969615602825,1.3749541327800605,2.989073192259335,0.3738851373752007,1.0380060540075813,1.0954451150103321,0.35006203999235586,1.4015613600236823,3.7486415476772197,0.2643767160228683,0.7339811197014504,0.7745966692414833,0.9910535419217857,1.2909944487358058,0.3413088727605255,0.9475655510114636,1.2794446210209836,0.13771726286215027,True,True,true,
6,2,3054387205,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+c,1-c",----,1,0,0.7862635054958881,1.070475914247428,1.093422933439851,1.3442536897326527,1.7096732588203316,0.5240541562071803,1.0624647283699808,1.0954451150103324,0.2667746257980759,1.3887392960302967,2.649991951368611,0.3705622475630914,0.7512760142019367,0.7745966692414834,0.9819869735232549,1.2909944487358056,0.47839380451501434,0.9698931638030622,1.2677397315493966,0.21964317766155747,True,True,true,
6,3,2308856266,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-c,1+c",----,1,0,0.6698342106591405,1.06301298300193,1.0863792565612118,1.3029669086569065,1.9452080648056793,0.3145663628191061,1.0611399783468478,1.0954451150103321,0.27199622488933767,1.3796009290969968,4.38572298936599,0.22243200828257775,0.7503392744772023,0.7745966692414833,0.9755251722957478,1.2909944487358058,0.2871584879139647,0.9686838380185201,1.2593975820358507,0.20180578234332147,True,True,true,
6,4,139949440,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,----,----,0,0,0.7648281717702936,1.1122230421904071,1.1349494902299124,1.4045639914624135,1.8364438488338743,0.3526667507613517,1.0550353989272734,1.0954451150103324,0.294788580189886,1.4045639914624135,3.9826946782768213,0.24937305096237777,0.7460226849733294,0.7745966692414834,0.9931767229735166,1.2909944487358056,0.32193922445674084,0.963111144931549,1.2821856359724288,0.16557204256531288,True,True,true,
6,5,3571928254,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,1-a",----,1,0,0.3354455496175273,0.9212108813502532,0.9892175996495621,1.3795157913948404,4.112487981932551,0.3354455496175273,1.057606069128588,1.0954451150103321,0.28542845433203706,1.3795157913948404,4.112487981932551,0.23719582285340204,0.7478404233048731,0.7745966692414833,0.9754649708492182,1.2909944487358058,0.30621849056706363,0.9654578350268265,1.2593198623025754,0.17049141968419923,True,True,true,
6,6,1706231805,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+c,1-c,2-a,2+a",----,2,0,0.7681031784418565,1.0809813343649468,1.0916548103198134,1.2247922462825065,1.5945673454536033,0.511363105306549,1.0687449698877696,1.095445115010332,0.24038342151568934,1.3737905770830166,2.686526585173689,0.36158831941087144,0.7557168155666544,0.7745966692414831,0.9714166329855813,1.290994448735806,0.4668085130871445,0.9756262137128522,1.2540934805940134,0.42815840523088927,True,True,true,
6,7,4191137145,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2-c,3+a,4+c,2+c,1+a,4-c,3-a",----,4,0,0.8815878464267312,1.1287062520879318,1.1428121363198738,1.401591026672912,1.5898483995144304,0.3008466235615125,1.0594995396113176,1.0954451150103321,0.27831767023206827,1.407029436144677,4.676899542656789,0.21273068761742203,0.7491793091231878,0.7745966692414833,0.9949200556269854,1.2909944487358058,0.27463413678984266,0.9671863291857614,1.2844362687503572,0.06665377846851188,True,True,true,
6,8,494788201,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2-c,3-a,1+a,2+c,3+a",----,3,0,0.3194441834981984,1.0179531841451526,1.078635903930394,1.4043124589024998,4.39611215807415,0.3194441834981984,1.0429981060391478,1.0954451150103324,0.3348954326334576,1.4057337575246118,4.400561444351795,0.2258811483621759,0.7375110335450071,0.7745966692414834,0.9940038724884989,1.2909944487358056,0.291611308609638,0.9521226501880107,1.2832534814045455,0.10787753418555483,True,True,true,
6,9,2217049275,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,1-a",----,1,0,0.7733143868521933,1.0768154109983534,1.0910355581361104,1.2593214553108836,1.6284728135435333,0.7733143868521933,1.0790282958555166,1.0954451150103321,0.18893897624137593,1.3888813397510973,1.796011251522933,0.546815846932303,0.7629882250916,0.7745966692414833,0.982087413601458,1.2909944487358058,0.7059362228703713,0.9850135630440413,1.2678693991327876,0.47250509315232536,True,True,true,
