N,sample_index,sample_seed,projection_model,status,is_nontrivial,knot_label,knot_types,determinant,alexander_roots,vassiliev_2,vassiliev_3,gauss_code,simplified_gauss_code,crossing_count,simplified_crossing_count,edge_length_min,edge_length_mean,edge_length_rms,edge_length_max,cycle_distortion,pair_distance_min,pair_distance_mean,pair_distance_rms,pair_distance_std,pair_distance_max,pair_distance_distortion,pair_abs_ratio_min,pair_abs_ratio_mean,pair_abs_ratio_rms,pair_abs_ratio_max,pair_rms_scale_to_simplex,pair_normalized_ratio_min,pair_normalized_ratio_mean,pair_normalized_ratio_max,min_nonadjacent_segment_distance,embedded_numerically,fast_mode_requested,fast_backend_available,messages
6,0,2825669272,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2+a,3+c,1+a,2-a,3-c",----,3,0,0.3867131240701763,1.444982571876108,1.5897235426174192,2.1435951301602385,5.543114512377509,0.3867131240701763,1.599201466365403,1.7036311150233538,0.5872934922595852,2.8809395288870068,7.4498105949055065,0.2734474724038563,1.130806201350447,1.2046491140734126,2.03713187706438,0.8301172418735195,0.22699346158917455,0.938701724958505,1.6910582951213087,0.17268431053301586,True,True,true,
6,1,2601697528,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,----,----,0,0,0.9042915598615134,1.4319923023151109,1.4760633060449968,1.8922166099838624,2.092485094380007,0.598886595564048,1.4355083250805931,1.5138987391994414,0.48083806127839784,2.2611360115221415,3.7755662395357854,0.42347677288506363,1.0150576711142303,1.0704880645176895,1.5988646069324095,0.9341533391598831,0.39559224144723365,0.9482195129112126,1.4935847114304643,0.08690501637239663,True,True,true,
6,2,3054387205,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,1+a",----,1,0,0.3052639673408322,0.9021887243911229,0.9513983870307922,1.2931022966651502,4.236013532581067,0.3052639673408322,0.9759944428537451,1.0430107929432584,0.36784013064744947,1.5669175068149424,5.132992014958167,0.21585422135861124,0.6901322889422695,0.737520004540936,1.107977994628764,1.355895424995886,0.29267575120619016,0.9357472132187616,1.502302293913257,0.0671641186273764,True,True,true,
6,3,2308856266,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,----,----,0,0,0.5463141277865929,0.9203223119903116,0.9489999174464956,1.2221629133234675,2.2371065494408775,0.5413017103183865,0.9399639855388902,0.980167237837378,0.2778408177708956,1.4495013565584507,2.677806718374995,0.3827581100340072,0.6646549082456831,0.6930829005716975,1.0249522385615801,1.4428288436709928,0.5522544413060613,0.9589832727043688,1.4788306531818003,0.17382965928472965,True,True,true,
6,4,139949440,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,2-a,2+a,1-a",----,2,0,0.5299899565870257,1.5326740749639178,1.7103395300618933,2.643028363163558,4.98694046993618,0.5299899565870257,1.8342230749180928,1.948229689176059,0.6566769626117999,2.849067288522876,5.375700526232617,0.3747594922634498,1.2969915744834242,1.377606424525351,2.0145947997712956,0.7258967308783756,0.27203669029967814,0.9414819438943147,1.4623877791985591,0.32226868209974485,True,True,true,
6,5,3571928254,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2-c,2+c,1+a",----,2,0,0.6388634913276147,1.3340316799165448,1.3890591974162492,1.655493477825639,2.591310194272297,0.6316167845292346,1.152820379523211,1.2333688075400298,0.43841052447298073,2.0331857822841384,3.2190179743236884,0.4466205114518642,0.8151671078509118,0.8721234475155208,1.4376794540651896,1.146626664893336,0.5121069875190071,0.9346923422058373,1.6484815976004403,0.1733089775414422,True,True,true,
6,6,1706231805,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,1+a",----,1,0,0.8851786461080461,1.6244048133954696,1.7627196548837825,2.848975299784502,3.2185314369148847,0.427820765059929,1.547326371252677,1.672921863102248,0.6359627826150823,2.848975299784502,6.659273070547238,0.3025149641062925,1.0941249698215412,1.1829343937948327,2.0145297539105984,0.8453554189019881,0.25573266420619484,0.9249244721946142,1.7029936440076128,0.28523175851117605,True,True,true,
6,7,4191137145,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,2-a,3-c,1-a,2+a,3+c",----,3,0,0.5868479054173144,1.0115594296994892,1.0745522454605234,1.5556363263837578,2.6508339077695555,0.4307343882174945,0.9962064190878402,1.0648268527193192,0.3760704679183328,1.7696413243036413,4.108428239562987,0.30457520679882927,0.7044243143985794,0.7529462883473597,1.2513253806830469,1.3281159831399103,0.4045112002176686,0.9355571908651263,1.6619052381937875,0.0254932258065514,True,True,true,
6,8,494788201,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,1-a",----,1,0,0.2609174910229212,1.596255988702235,1.7978331393219416,2.454026818721335,9.405374891121241,0.2609174910229212,1.677781030372387,1.8080889043781292,0.6739705485092619,2.5517242723764517,9.77981300668067,0.18449652723248772,1.1863703439224675,1.27851192527393,1.8043415367156976,0.7821593058553153,0.14430567567287889,0.9279306046897289,1.411282523883463,0.2609174910229212,True,True,true,
6,9,2217049275,gaussian,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-c,2-a,2+a,1+c",----,2,0,0.5733265635840068,1.275077027129788,1.33233633940081,1.6978988914028241,2.961486523123639,0.5733265635840068,1.303295434226189,1.3682073138961683,0.41642798287835786,2.210048615796631,3.8547814738969497,0.4054031009446315,0.9215690394308043,0.9674686697250118,1.5627403629817405,1.0336252028546151,0.4190348624517848,0.9525569853261978,1.6152878246960964,0.3403618501293724,True,True,true,
